ANT1,38.10,30.48,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,40.78,32.49,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,5.61,24.13,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,35.08,33.61,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,35.56,35.56,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,36.72,37.16,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,34.29,37.33,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,20.32,37.25,0.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C15,27.94,37.25,0.00,1.0μF,NORDIC_NRF_3_RESC0402_L
C16,30.48,37.33,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,17.78,37.33,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,20.32,30.48,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,5.26,27.94,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,40.27,34.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,5.61,17.78,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,25.40,30.48,0.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C21,27.94,27.94,0.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C22,41.28,27.94,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,1.27,33.06,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,3.65,35.56,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,11.43,34.29,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,20.32,22.86,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,36.83,11.43,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,35.56,27.94,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,30.48,11.43,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,33.02,11.43,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
